scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,dynamicProperties,iucnRegionalStatus
Elanus leucurus,Aves,Accipitriformes,Accipitridae,Elanus,leucurus,,halcón blanco,LC,
Emberizoides herbicola,Aves,Passeriformes,Thraupidae,Emberizoides,herbicola,,coludo grande,LC,
Emberizoides ypiranganus,Aves,Passeriformes,Thraupidae,Emberizoides,ypiranganus,,coludo chico,LC,
Embernagra platensis,Aves,Passeriformes,Thraupidae,Embernagra,platensis,,verdón,LC,
Empidonomus varius,Aves,Passeriformes,Tyrannidae,Empidonomus,varius,,tuquito rayado,LC,
Eudyptes chrysocome,Aves,Sphenisciformes,Spheniscidae,Eudyptes,chrysocome,,pingüino penacho amarillo,VU,
Euphonia chlorotica,Aves,Passeriformes,Fringillidae,Euphonia,chlorotica,,tangará garganta violácea,LC,
Euphonia cyanocephala,Aves,Passeriformes,Fringillidae,Euphonia,cyanocephala,,tangará corona celeste,LC,
Euscarthmus meloryphus,Aves,Passeriformes,Tyrannidae,Euscarthmus,meloryphus,,barullero,LC,
Falco femoralis,Aves,Falconiformes,Falconidae,Falco,femoralis,,halcón plomizo,LC,
Falco peregrinus,Aves,Falconiformes,Falconidae,Falco,peregrinus,,halcón peregrino,LC,
Falco sparverius,Aves,Falconiformes,Falconidae,Falco,sparverius,,halcóncito común,LC,
Florisuga fusca,Aves,Apodiformes,Trochilidae,Florisuga,fusca,,picaflor negro,LC,
Fluvicola albiventer,Aves,Passeriformes,Tyrannidae,Fluvicola,albiventer,,lavandera blanca,LC,
Fregata magnificens,Aves,Suliformes,Fregatidae,Fregata,magnificens,,fragata,LC,
Fulica armillata,Aves,Gruiformes,Rallidae,Fulica,armillata,,gallareta grande,LC,
Fulica leucoptera,Aves,Gruiformes,Rallidae,Fulica,leucoptera,,gallareta ala blanca,LC,
Fulica rufifrons,Aves,Gruiformes,Rallidae,Fulica,rufifrons,,gallareta escudete rojo,LC,
Fulmarus glacialoides,Aves,Procellariiformes,Procellariidae,Fulmarus,glacialoides,,petrel plateado,LC,
Furnarius rufus,Aves,Passeriformes,Furnariidae,Furnarius,rufus,,hornero,LC,
Gallinago paraguaiae,Aves,Charadriiformes,Scolopacidae,Gallinago,paraguaiae,,becasina,LC,
Gallinula galeata,Aves,Gruiformes,Rallidae,Gallinula,galeata,,polla de agua,LC,
Gelochelidon nilotica,Aves,Charadriiformes,Laridae,Gelochelidon,nilotica,,gaviotín pico grueso,LC,
Geositta cunicularia,Aves,Passeriformes,Furnariidae,Geositta,cunicularia,,caminera,LC,
Geothlypis aequinoctialis,Aves,Passeriformes,Parulidae,Geothlypis,aequinoctialis,,arañero cara negra,LC,
Geothlypis velata,Aves,Passeriformes,Parulidae,Geothlypis,velata,,,NE,
Geranoaetus albicaudatus,Aves,Accipitriformes,Accipitridae,Geranoaetus,albicaudatus,,águila cola blanca,LC,
Geranoaetus melanoleucus,Aves,Accipitriformes,Accipitridae,Geranoaetus,melanoleucus,,águila mora,LC,
Geranoaetus polyosoma,Aves,Accipitriformes,Accipitridae,Geranoaetus,polyosoma,,aguilucho lomo rojo,LC,
Geranospiza caerulescens,Aves,Accipitriformes,Accipitridae,Geranospiza,caerulescens,,gavilán patas largas,LC,
Glaucidium brasilianum,Aves,Strigiformes,Strigidae,Glaucidium,brasilianum,,caburé,LC,
Gnorimopsar chopi,Aves,Passeriformes,Icteridae,Gnorimopsar,chopi,,mirlo charrúa,LC,
